x-axis,1,2,3
second,Volt,Volt,Volt
+41.600E-03,+2.781250E+00,+3.612500E+00,+3.737500E+00
+41.700E-03,+2.281250E+00,+3.643750E+00,+3.612500E+00
+41.800E-03,+1.843750E+00,+3.331250E+00,+3.081250E+00
+41.900E-03,+1.562500E+00,+2.800000E+00,+2.425000E+00
+42.000E-03,+1.500000E+00,+2.175000E+00,+1.862500E+00
+42.100E-03,+1.687500E+00,+1.612500E+00,+1.362500E+00
+42.200E-03,+2.093750E+00,+1.300000E+00,+1.206250E+00
+42.300E-03,+2.562500E+00,+1.237500E+00,+1.331250E+00
+42.400E-03,+2.968750E+00,+1.487500E+00,+1.737500E+00
+42.500E-03,+3.250000E+00,+1.987500E+00,+2.362500E+00
+42.600E-03,+3.312500E+00,+2.643750E+00,+3.050000E+00
+42.700E-03,+3.156250E+00,+3.237500E+00,+3.518750E+00
+42.800E-03,+2.750000E+00,+3.612500E+00,+3.706250E+00
+42.900E-03,+2.250000E+00,+3.612500E+00,+3.581250E+00
+43.000E-03,+1.843750E+00,+3.393750E+00,+3.112500E+00
+43.100E-03,+1.562500E+00,+2.862500E+00,+2.487500E+00
+43.200E-03,+1.562500E+00,+2.206250E+00,+1.831250E+00
+43.300E-03,+1.750000E+00,+1.675000E+00,+1.331250E+00
+43.400E-03,+2.125000E+00,+1.300000E+00,+1.175000E+00
+43.500E-03,+2.656250E+00,+1.268750E+00,+1.393750E+00
+43.600E-03,+3.062500E+00,+1.581250E+00,+1.831250E+00
+43.700E-03,+3.281250E+00,+2.081250E+00,+2.487500E+00
+43.800E-03,+3.250000E+00,+2.706250E+00,+3.081250E+00
+43.900E-03,+3.000000E+00,+3.300000E+00,+3.550000E+00
+44.000E-03,+2.593750E+00,+3.581250E+00,+3.675000E+00
+44.100E-03,+2.062500E+00,+3.550000E+00,+3.425000E+00
+44.200E-03,+1.718750E+00,+3.237500E+00,+2.925000E+00
+44.300E-03,+1.500000E+00,+2.643750E+00,+2.300000E+00
+44.400E-03,+1.625000E+00,+2.018750E+00,+1.675000E+00
+44.500E-03,+1.906250E+00,+1.550000E+00,+1.331250E+00
+44.600E-03,+2.406250E+00,+1.268750E+00,+1.268750E+00
+44.700E-03,+2.906250E+00,+1.425000E+00,+1.581250E+00
+44.800E-03,+3.250000E+00,+1.800000E+00,+2.143750E+00
+44.900E-03,+3.312500E+00,+2.425000E+00,+2.768750E+00
+45.000E-03,+3.125000E+00,+3.050000E+00,+3.362500E+00
+45.100E-03,+2.718750E+00,+3.487500E+00,+3.612500E+00
+45.200E-03,+2.250000E+00,+3.550000E+00,+3.550000E+00
+45.300E-03,+1.750000E+00,+3.362500E+00,+3.143750E+00
+45.400E-03,+1.531250E+00,+2.893750E+00,+2.487500E+00
+45.500E-03,+1.562500E+00,+2.268750E+00,+1.862500E+00
+45.600E-03,+1.843750E+00,+1.706250E+00,+1.425000E+00
+45.700E-03,+2.281250E+00,+1.393750E+00,+1.268750E+00
+45.800E-03,+2.812500E+00,+1.362500E+00,+1.487500E+00
+45.900E-03,+3.218750E+00,+1.737500E+00,+2.018750E+00
+46.000E-03,+3.312500E+00,+2.268750E+00,+2.675000E+00
+46.100E-03,+3.156250E+00,+2.893750E+00,+3.237500E+00
+46.200E-03,+2.781250E+00,+3.300000E+00,+3.581250E+00
+46.300E-03,+2.250000E+00,+3.518750E+00,+3.550000E+00
+46.400E-03,+1.812500E+00,+3.362500E+00,+3.206250E+00
+46.500E-03,+1.562500E+00,+2.893750E+00,+2.581250E+00
+46.600E-03,+1.593750E+00,+2.300000E+00,+1.956250E+00
+46.700E-03,+1.875000E+00,+1.737500E+00,+1.456250E+00
+46.800E-03,+2.343750E+00,+1.425000E+00,+1.331250E+00
+46.900E-03,+2.906250E+00,+1.393750E+00,+1.581250E+00
+47.000E-03,+3.218750E+00,+1.768750E+00,+2.018750E+00
+47.100E-03,+3.312500E+00,+2.300000E+00,+2.706250E+00
+47.200E-03,+3.093750E+00,+2.862500E+00,+3.237500E+00
+47.300E-03,+2.687500E+00,+3.331250E+00,+3.518750E+00
+47.400E-03,+2.125000E+00,+3.518750E+00,+3.425000E+00
+47.500E-03,+1.718750E+00,+3.300000E+00,+3.050000E+00
+47.600E-03,+1.531250E+00,+2.800000E+00,+2.456250E+00
+47.700E-03,+1.656250E+00,+2.237500E+00,+1.893750E+00
+47.800E-03,+2.000000E+00,+1.706250E+00,+1.425000E+00
+47.900E-03,+2.531250E+00,+1.425000E+00,+1.393750E+00
+48.000E-03,+3.000000E+00,+1.550000E+00,+1.643750E+00
+48.100E-03,+3.281250E+00,+1.956250E+00,+2.237500E+00
